month,co_gt,benzene_gt,nox_gt,no2_gt,pollution_score
2004-03,2.2498039215686276,9.932745098039215,140.05490196078432,101.05196078431372,-0.1582074094161137
2004-04,2.1381944444444443,10.296666666666667,133.4048611111111,91.85208333333334,-0.2232101590389587
2004-05,1.9218413978494622,10.639247311827958,122.70430107526882,92.79032258064517,-0.2576195191079655
2004-06,1.864513888888889,10.347916666666666,117.50902777777777,91.44513888888889,-0.29093072174937173
2004-07,1.7098118279569892,10.596706989247311,123.19690860215054,102.14650537634408,-0.24511435151392552
2004-08,1.3381048387096774,6.775940860215054,83.38575268817205,73.03897849462365,-0.6426454353520074
2004-09,2.2465277777777777,11.87138888888889,278.6534722222222,102.67291666666667,0.08412031391857468
2004-10,3.02372311827957,13.530779569892472,375.94086021505376,103.13978494623656,0.3966667554507237
2004-11,2.736388888888889,12.511805555555556,413.43888888888887,119.87777777777778,0.4484906702697054
2004-12,2.5608254350958877,10.799663978494623,380.14652616117945,120.33743487418246,0.32252931310366895
2005-01,1.9836638122159407,8.963104838709677,341.91328566677754,132.94683931936592,0.18162702484258403
2005-02,2.0805059523809524,7.851339285714286,308.8482142857143,158.4546130952381,0.25828828897347694
2005-03,2.0016129032258063,8.737231182795698,307.1915322580645,136.51680107526883,0.1539592370248622
2005-04,1.189080459770115,4.285057471264368,175.57471264367817,108.93103448275862,-0.445727310634379
